tester_code,task_id,task_description,completed,time_seconds,help_needed,confusion_point,rating_clarity_1_5,notes
T01,T1,Understand homepage purpose,Yes,30,No,,5,Clear title and Book Tutor button
T01,T2,Search tutor by subject (Calculus),Yes,40,No,,5,Search filter was easy to use
T01,T3,Open tutor profile and check availability,Yes,35,No,,4,Wanted more detail on tutor bio
T01,T4,Submit booking request,Yes,90,No,Unsure which time slot format to pick,4,Confirmation message appeared clearly
T01,T5,Check booking status,Yes,25,No,,5,Status was easy to find
T02,T2,Search tutor by subject (Java),Yes,50,No,,4,Took a moment to find filter option
T02,T3,Open tutor profile and check availability,Yes,30,No,,5,Liked seeing subjects and schedule together
T02,T4,Submit booking request,Yes,85,No,,4,Form fields were straightforward
T02,T5,Check booking status,Yes,20,No,,5,Understood Pending status immediately
T03,T1,Understand homepage purpose,Yes,45,No,,4,Needed a second read of the description
T03,T2,Search tutor by subject (English Writing),Yes,60,Yes,Did not notice the search bar at first,3,Search bar needs more visual emphasis
T03,T4,Submit booking request,Yes,120,Yes,Unsure what to write in notes field,3,Add placeholder text/example to notes field
T04,T1,Understand homepage purpose,Yes,35,No,,5,Understood quickly
T04,T5,Check booking status,No,80,Yes,Status labels (Pending/Approved) were unclear,2,Needs tooltip or legend explaining each status
T05,T2,Search tutor by subject (Statistics),Yes,38,No,,5,Search was fast and relevant
T05,T3,Open tutor profile and check availability,Yes,32,No,,5,Availability display was clear
T05,T4,Submit booking request,Yes,75,No,,5,Confirmation message was reassuring
